accuracy,loss,val_accuracy,val_loss
0.47787609696388245,0.9906138181686401,0.6206896305084229,0.8911800980567932
0.8053097128868103,0.7734872698783875,0.8965517282485962,0.6831095218658447
0.9292035102844238,0.6121108531951904,0.931034505367279,0.5211840271949768
0.9469026327133179,0.49983981251716614,1.0,0.3982597887516022
0.9469026327133179,0.40546584129333496,1.0,0.30512434244155884
0.9557521939277649,0.29920443892478943,1.0,0.23614872992038727
0.9734513163566589,0.2516553997993469,1.0,0.18429532647132874
0.991150438785553,0.19744162261486053,1.0,0.14483250677585602
0.991150438785553,0.17731715738773346,1.0,0.11436672508716583
0.991150438785553,0.13935336470603943,1.0,0.09129471331834793
0.991150438785553,0.12018553912639618,1.0,0.07403653860092163
0.982300877571106,0.10337535291910172,1.0,0.06097796559333801
1.0,0.08234327286481857,1.0,0.05206688120961189
0.991150438785553,0.07289630174636841,1.0,0.04568587243556976
0.991150438785553,0.06768707185983658,1.0,0.04128444567322731
0.9646017551422119,0.09463698416948318,1.0,0.038348760455846786
0.991150438785553,0.05857708305120468,1.0,0.03364233300089836
0.982300877571106,0.06867040693759918,1.0,0.029441434890031815
0.991150438785553,0.052492838352918625,1.0,0.026975344866514206
1.0,0.04489248991012573,1.0,0.024875875562429428
1.0,0.033440012484788895,1.0,0.022945616394281387
0.991150438785553,0.038842614740133286,1.0,0.02010355331003666
0.991150438785553,0.04146162420511246,1.0,0.016609515994787216
1.0,0.032003119587898254,1.0,0.014112456701695919
0.991150438785553,0.028437679633498192,1.0,0.012859562411904335
1.0,0.028564341366291046,1.0,0.012065058574080467
1.0,0.01989569701254368,1.0,0.011529776267707348
1.0,0.02631922997534275,1.0,0.01088789477944374
1.0,0.02309875376522541,1.0,0.009962274692952633
1.0,0.02276902087032795,1.0,0.009661039337515831
1.0,0.015144619159400463,1.0,0.009420780465006828
0.991150438785553,0.02560865506529808,1.0,0.009029891341924667
1.0,0.024740278720855713,1.0,0.008581046015024185
1.0,0.024253783747553825,1.0,0.00804199930280447
1.0,0.014356086030602455,1.0,0.007261541206389666
0.991150438785553,0.021423393860459328,1.0,0.007316200062632561
1.0,0.014710814692080021,1.0,0.007064008619636297
1.0,0.012071797624230385,1.0,0.0067218574695289135
1.0,0.012239632196724415,1.0,0.006540934555232525
1.0,0.011138464324176311,1.0,0.006321652326732874
1.0,0.012613119557499886,1.0,0.005935162305831909
1.0,0.014325904659926891,1.0,0.006087939254939556
1.0,0.015503834001719952,1.0,0.005933996755629778
1.0,0.012224786914885044,1.0,0.005458699073642492
1.0,0.006955285090953112,1.0,0.005298185627907515
1.0,0.01204609777778387,1.0,0.004981086123734713
1.0,0.007515422534197569,1.0,0.004254667554050684
1.0,0.008875146508216858,1.0,0.0036338954232633114
1.0,0.009303187020123005,1.0,0.0031439485028386116
1.0,0.01180699560791254,1.0,0.0027373151388019323
1.0,0.00778622180223465,1.0,0.002512790495529771
1.0,0.0088673559948802,1.0,0.0023957903031259775
1.0,0.009687368758022785,1.0,0.002424588892608881
1.0,0.013204647228121758,1.0,0.0022923038341104984
1.0,0.009161732159554958,1.0,0.00221053184941411
1.0,0.01277599111199379,1.0,0.0020628105849027634
1.0,0.007552847731858492,1.0,0.001887155114673078
1.0,0.00562459509819746,1.0,0.0017476906068623066
1.0,0.006540987640619278,1.0,0.0016979495994746685
1.0,0.004310631658881903,1.0,0.001647347817197442
1.0,0.009118192829191685,1.0,0.001584307523444295
1.0,0.007929247803986073,1.0,0.001497100223787129
1.0,0.003138334956020117,1.0,0.0014086415758356452
1.0,0.005809191148728132,1.0,0.0012218777555972338
1.0,0.0027647214010357857,1.0,0.0011120981071144342
1.0,0.005662808194756508,1.0,0.0010739386780187488
1.0,0.0037984929513186216,1.0,0.0010417429730296135
1.0,0.002385187428444624,1.0,0.0010147036518901587
1.0,0.005135354120284319,1.0,0.0010267075849696994
1.0,0.010151971131563187,1.0,0.0010977992787957191
1.0,0.0032275535631924868,1.0,0.0010824460769072175
1.0,0.00466523040086031,1.0,0.0009376452653668821
1.0,0.0030753514729440212,1.0,0.0008544937008991838
1.0,0.0020896168425679207,1.0,0.0008063860004767776
1.0,0.0036756370682269335,1.0,0.0007953608874231577
1.0,0.008769501931965351,1.0,0.0007022764184512198
1.0,0.007927351631224155,1.0,0.0006473941612057388
1.0,0.003979737404733896,1.0,0.0006361964624375105
1.0,0.0034298556856811047,1.0,0.0006310062599368393
1.0,0.004483694210648537,1.0,0.000625083630438894
1.0,0.003662413451820612,1.0,0.0005745550733990967
1.0,0.00909139309078455,1.0,0.0005236229044385254
1.0,0.009901934303343296,1.0,0.0005312590510584414
1.0,0.0018283803947269917,1.0,0.0005472927587106824
1.0,0.0029898458160459995,1.0,0.000551836914382875
1.0,0.0023753636050969362,1.0,0.0005595071124844253
1.0,0.003569230670109391,1.0,0.0005758688785135746
1.0,0.001147782546468079,1.0,0.0005715692532248795
1.0,0.005504328291863203,1.0,0.0004865685768891126
1.0,0.005425681360065937,1.0,0.0004251491045579314
1.0,0.0020383179653435946,1.0,0.0003911425010301173
1.0,0.001909136539325118,1.0,0.0003729612799361348
1.0,0.0032363974023610353,1.0,0.000360364792868495
1.0,0.0022467009257525206,1.0,0.0003495847631711513
1.0,0.0014889382291585207,1.0,0.0003424923634156585
1.0,0.0022400133311748505,1.0,0.0003423227171879262
1.0,0.0015666603576391935,1.0,0.00034208950819447637
1.0,0.005894554313272238,1.0,0.0003040051960851997
1.0,0.0016230023466050625,1.0,0.0002804804244078696
1.0,0.002522721653804183,1.0,0.00026877372874878347
